Trip ID,Duration,Start Time,End Time,Starting Station ID,Starting Station Latitude,Starting Station Longitude,Ending Station ID,Ending Station Latitude,Ending Station Longitude,Bike ID,Plan Duration,Trip Route Category,Passholder Type,Starting Lat-Long,Ending Lat-Long
2314122,420,2016-07-10T16:02:00,2016-07-10T16:09:00,3075,34.0421104,-118.25619,3032,34.0498886,-118.25588,5991,30,One Way,Monthly Pass,"{'longitude': '-118.25619', 'latitude': '34.0421104', 'needs_recoding': False}","{'longitude': '-118.25588', 'latitude': '34.0498886', 'needs_recoding': False}"
2314121,1500,2016-07-10T16:02:00,2016-07-10T16:27:00,3038,34.0468216,-118.24835,3035,34.0484009,-118.26095,6554,30,One Way,Monthly Pass,"{'longitude': '-118.24835', 'latitude': '34.0468216', 'needs_recoding': False}","{'longitude': '-118.26095', 'latitude': '34.0484009', 'needs_recoding': False}"
2314120,840,2016-07-10T16:06:00,2016-07-10T16:20:00,3014,34.0566101,-118.23721,3038,34.0468216,-118.24835,6084,30,One Way,Monthly Pass,"{'longitude': '-118.23721', 'latitude': '34.0566101', 'needs_recoding': False}","{'longitude': '-118.24835', 'latitude': '34.0468216', 'needs_recoding': False}"
2314119,1500,2016-07-10T16:13:00,2016-07-10T16:38:00,3031,34.0447006,-118.25244,3038,34.0468216,-118.24835,6608,30,One Way,Monthly Pass,"{'longitude': '-118.25244', 'latitude': '34.0447006', 'needs_recoding': False}","{'longitude': '-118.24835', 'latitude': '34.0468216', 'needs_recoding': False}"
2314117,1560,2016-07-10T16:15:00,2016-07-10T16:41:00,3030,34.0519409,-118.24353,3054,34.0392189,-118.23649,5910,365,One Way,Flex Pass,"{'longitude': '-118.24353', 'latitude': '34.0519409', 'needs_recoding': False}","{'longitude': '-118.23649', 'latitude': '34.0392189', 'needs_recoding': False}"
2314118,1440,2016-07-10T16:15:00,2016-07-10T16:39:00,3030,34.0519409,-118.24353,3054,34.0392189,-118.23649,6366,30,One Way,Monthly Pass,"{'longitude': '-118.24353', 'latitude': '34.0519409', 'needs_recoding': False}","{'longitude': '-118.23649', 'latitude': '34.0392189', 'needs_recoding': False}"
2314116,1080,2016-07-10T16:16:00,2016-07-10T16:34:00,3068,34.0531998,-118.25095,3068,34.0531998,-118.25095,5886,30,Round Trip,Monthly Pass,"{'longitude': '-118.25095', 'latitude': '34.0531998', 'needs_recoding': False}","{'longitude': '-118.25095', 'latitude': '34.0531998', 'needs_recoding': False}"
2314115,960,2016-07-10T16:17:00,2016-07-10T16:33:00,3063,34.0491982,-118.25283,3063,34.0491982,-118.25283,5829,365,Round Trip,Flex Pass,"{'longitude': '-118.25283', 'latitude': '34.0491982', 'needs_recoding': False}","{'longitude': '-118.25283', 'latitude': '34.0491982', 'needs_recoding': False}"
2314113,660,2016-07-10T16:20:00,2016-07-10T16:31:00,3022,34.0460701,-118.23309,3036,34.0391884,-118.23253,6466,30,One Way,Monthly Pass,"{'longitude': '-118.23309', 'latitude': '34.0460701', 'needs_recoding': False}","{'longitude': '-118.23253', 'latitude': '34.0391884', 'needs_recoding': False}"
2314114,660,2016-07-10T16:20:00,2016-07-10T16:31:00,3022,34.0460701,-118.23309,3036,34.0391884,-118.23253,5941,30,One Way,Monthly Pass,"{'longitude': '-118.23309', 'latitude': '34.0460701', 'needs_recoding': False}","{'longitude': '-118.23253', 'latitude': '34.0391884', 'needs_recoding': False}"
2314112,600,2016-07-10T16:23:00,2016-07-10T16:33:00,3030,34.0519409,-118.24353,3031,34.0447006,-118.25244,6038,30,One Way,Monthly Pass,"{'longitude': '-118.24353', 'latitude': '34.0519409', 'needs_recoding': False}","{'longitude': '-118.25244', 'latitude': '34.0447006', 'needs_recoding': False}"
2314111,540,2016-07-10T16:24:00,2016-07-10T16:33:00,3030,34.0519409,-118.24353,3067,34.0451813,-118.25024,6558,30,One Way,Monthly Pass,"{'longitude': '-118.24353', 'latitude': '34.0519409', 'needs_recoding': False}","{'longitude': '-118.25024', 'latitude': '34.0451813', 'needs_recoding': False}"
2314110,540,2016-07-10T16:24:00,2016-07-10T16:33:00,3030,34.0519409,-118.24353,3067,34.0451813,-118.25024,6249,30,One Way,Monthly Pass,"{'longitude': '-118.24353', 'latitude': '34.0519409', 'needs_recoding': False}","{'longitude': '-118.25024', 'latitude': '34.0451813', 'needs_recoding': False}"
2314109,1260,2016-07-10T16:26:00,2016-07-10T16:47:00,3058,34.0358009,-118.23317,3034,34.0420609,-118.26338,6314,30,One Way,Monthly Pass,"{'longitude': '-118.23317', 'latitude': '34.0358009', 'needs_recoding': False}","{'longitude': '-118.26338', 'latitude': '34.0420609', 'needs_recoding': False}"
2314108,960,2016-07-10T16:32:00,2016-07-10T16:48:00,3075,34.0421104,-118.25619,3032,34.0498886,-118.25588,6325,30,One Way,Monthly Pass,"{'longitude': '-118.25619', 'latitude': '34.0421104', 'needs_recoding': False}","{'longitude': '-118.25588', 'latitude': '34.0498886', 'needs_recoding': False}"
2314107,900,2016-07-10T16:33:00,2016-07-10T16:48:00,3075,34.0421104,-118.25619,3032,34.0498886,-118.25588,6565,30,One Way,Monthly Pass,"{'longitude': '-118.25619', 'latitude': '34.0421104', 'needs_recoding': False}","{'longitude': '-118.25588', 'latitude': '34.0498886', 'needs_recoding': False}"
2314105,960,2016-07-10T16:36:00,2016-07-10T16:52:00,3005,34.0485497,-118.25905,3034,34.0420609,-118.26338,6175,30,One Way,Monthly Pass,"{'longitude': '-118.25905', 'latitude': '34.0485497', 'needs_recoding': False}","{'longitude': '-118.26338', 'latitude': '34.0420609', 'needs_recoding': False}"
2314104,900,2016-07-10T16:37:00,2016-07-10T16:52:00,3036,34.0391884,-118.23253,3014,34.0566101,-118.23721,5974,30,One Way,Monthly Pass,"{'longitude': '-118.23253', 'latitude': '34.0391884', 'needs_recoding': False}","{'longitude': '-118.23721', 'latitude': '34.0566101', 'needs_recoding': False}"
2314103,840,2016-07-10T16:38:00,2016-07-10T16:52:00,3005,34.0485497,-118.25905,3034,34.0420609,-118.26338,6020,30,One Way,Monthly Pass,"{'longitude': '-118.25905', 'latitude': '34.0485497', 'needs_recoding': False}","{'longitude': '-118.26338', 'latitude': '34.0420609', 'needs_recoding': False}"
2314101,660,2016-07-10T16:46:00,2016-07-10T16:57:00,3049,34.0569687,-118.25359,3026,34.063179,-118.24588,5737,30,One Way,Monthly Pass,"{'longitude': '-118.25359', 'latitude': '34.0569687', 'needs_recoding': False}","{'longitude': '-118.24588', 'latitude': '34.063179', 'needs_recoding': False}"
